13.35	60.31	1.51	4.38	18.8
1281.69	68.8	1.84	0.19	29.8
874.78	56.95	3	0.37	43.05
20.59	60.35	1.56	3.15	39.57
16.27	42.14	1.37	17.13	49.1
18.52	28.76	1.15	20.17	71.24
10.03	62.89	1.23	10.96	36.58
196.52	55.89	1.83	0.64	44.06
--  	24.25	1.32	-3.44	76.16
19.03	77.53	1.47	28.97	22.04
13.22	57.76	1.56	6.34	42.24
14.38	63.42	4.17	9.65	34.44
10.7	70.16	2.35	5.57	19.16
26.09	41.19	1.16	5.09	54.6
5.82	53.82	1.5	9.41	24.18
13.09	76.45	0.74	10.3	20.84
56.12	40.25	12.45	19.88	59.57
33.27	58.96	0.83	0.88	31.16
20.13	54.29	1.29	2.9	37.8
37.75	20.49	2.27	30.35	79.51
--  	63.78	3.79	-14.76	15.76
--  	116.69	-1.89	-270.77	-17.73
18.73	75.22	2.07	0.67	12.71
18.29	52.68	0.83	9.03	45.94
7.93	79.39	0.57	7.92	14.21
73.3	2.59	3.28	48.72	94.56
16.25	55.52	0.87	1.91	37.19
13.14	38.37	0.86	5.47	56.16
39.05	62.62	1.42	4.19	37.24
21.79	68.76	0.98	3.33	22.91
17.1	91.53	20.43	1.07	4.62
83.03	14.15	2.18	7.38	85.46
8.89	52.62	1.29	6.98	47.06
--  	42.66	1.79	-18.23	57.27
--  	67.58	1.14	-20.67	34.1
11.1	41.15	1.71	48.57	56.48
39.34	38.8	1.29	12.28	60.94
9.83	75.81	0.82	4.85	23.52
10.46	73.17	0.99	2.38	18.55
7.48	60.43	0.9	6.35	39.57
--  	13.75	6.89	-15.2	81.06
--  	4.15	12.93	-272.53	95.56
--  	75.05	-93.63	-22.26	-8.86
33.14	42.76	1.6	1.67	45.95
--  	58.7	2.46	-6.37	39.51
28.08	38.29	1.04	6.12	56.8
182.21	78.59	46.9	16.8	19.71
37.44	30.23	2.38	2.71	65.61
21.21	26.89	2.71	14.25	66.5
221.83	44.26	1.1	5.61	48.16
--  	42.22	1.78	-3.01	57.31
9.8	85.49	1.55	25.77	13.87
270.48	26.81	5.62	3.32	68.04
27.73	23.57	1.3	8.4	76.44
106.9	32.27	10.36	4.87	67.73
33.76	65.39	0.72	0.62	33.93
113.2	73.51	1.71	0.24	26.56
15.38	44.9	1.84	3.86	53.75
13.95	64.09	1.12	7.09	35.28
37.39	96.5	22.06	2.63	3.73
7.92	61.87	0.92	6.2	36.4
21.96	28.07	2.63	7.5	69.05
23.52	38.42	0.96	7.18	60.17
10.27	53.88	1.18	15.25	42.8
114.55	62.51	4.76	9.18	30.69
1098	63.26	3.1	0.13	24.85
43.3	48.02	4.53	20.31	51.93
--  	62.76	1.22	-129.53	36.81
4.09	83.23	1.04	18.81	16.77
23.45	24.03	2.96	16.36	75.68
11.65	55.07	0.82	6.22	34.21
11.66	82.01	1.29	14.91	15.44
22.88	20.21	1.61	9.45	79.31
11.58	45.52	0.82	5.95	40.16
17.88	40.3	1.06	23.13	55.99
42.88	34.4	1.42	3.61	65.6
14.71	47.49	1.95	7.13	44.68
39.03	25.76	2.15	13.09	70.88
38.38	26.01	1.23	19.55	75.38
63.44	54	1.27	0.77	46
23.62	47.01	1.53	3.42	39.85
11.23	23.14	0.75	13.16	76.07
21.24	49.57	0.97	3.92	50.43
1083.07	33.9	2.6	0.07	65.86
50.98	48.66	2.55	3.05	50.46
336.67	7.32	1	1.92	92.68
--  	48.94	3.5	-72.23	51.33
25.58	53.87	2.79	5.43	44.01
11.96	46.96	1.03	7.38	51.85
750.2	50.94	2.82	0.56	44.91
27.2	16.3	1.55	35.44	83.7
--  	41.79	0.43	-1.93	57.06
26.19	26.17	1.97	18.23	73.83
49.16	53.41	1.69	6.37	44.75
28.65	21.94	1.37	51.83	78.06
25.53	29.83	6.96	33.07	69.55
95.74	39.97	1.23	1.27	59.47
--  	54.21	1.49	-8.18	31.26
--  	48.9	0.62	-5.87	42.85
10.79	44.71	1.1	18.47	55.06
31.97	30.13	3.27	25.08	68.08
7.63	26	1.07	27.32	72.06
14.82	35.96	1.49	21.46	56.44
59.37	61.11	2.3	4.08	36.92
--  	96.63	123.84	-7.85	2.36
264.05	56.14	8.98	2.23	39.81
--  	84.44	0.9	-187.06	15.93
19.91	65.83	0.97	2.67	34.06
115.02	28.12	4.45	8.09	71.88
9.4	64.26	0.77	22.29	35.36
133.99	11.54	1.67	4.44	80.02
78.24	48.27	2.55	3.6	50.54
--  	66.35	4.26	-38.99	30.13
24.01	31.74	6.49	21.23	64.74
28.48	69.14	1.79	2.9	29.87
11.57	46.63	1.3	28.42	50.12
100.2	59.91	1.05	0.92	38.42
14.51	56.68	0.8	4.56	35.36
10.39	51.68	1.37	14.63	45.05
21.11	41.91	4.44	17.38	51.61
58.3	61.51	1.18	2.76	30.56
37.04	31.86	1.85	8.76	67.14
53.54	42.74	2.92	5.56	48.34
--  	39.62	1.22	-26.97	49.61
--  	61.31	0.96	-352.37	38.75
--  	25.42	2.36	-0.69	74.34
--  	63.6	3.2	-61.09	22.81
139.22	40.2	1.18	0.76	59.8
--  	9.89	22.16	-2.23	90.11
--  	78.38	2.22	-2.46	13.32
--  	28.66	0.82	-3.12	71.34
13.63	82.84	1.33	1022.02	9.27
71.19	32.44	0.83	0.8	62.27
42.63	83.86	1.27	2.9	12.81
97.79	31.04	9.68	6.44	64.99
12.03	13.12	0.86	49.17	86.07
--  	53.23	0.82	-5.9	46.87
45.86	61.85	1.56	0.13	36.54
25.05	83.24	1.67	246.07	10.31
54.22	79.84	3.45	2.7	18.58
