000546	金圆股份	0.62	9.75	0.06	9.74	9.75	27200	382	0.41	0.41	9.92	
000547	航天发展	0.19	10.67	0.02	10.67	10.68	215758	2995	-0.08	1.96	10.71	
000548	湖南投资	1.73	4.12	0.07	4.11	4.12	14751	45	-0.23	0.30	4.05	
000550	江铃汽车	-2.82	16.90	-0.49	16.90	16.91	45180	617	0.24	0.87	17.59	
000551	创元科技	0.76	6.63	0.05	6.63	6.64	20746	392	-0.29	0.52	6.58	
000552	靖远煤电	-0.40	2.49	-0.01	2.48	2.49	60394	2426	0.00	0.26	2.49	
000553	安道麦A	-0.44	9.13	-0.04	9.12	9.13	15377	237	0.33	0.33	9.17	
000554	泰山石油	0.20	5.00	0.01	4.99	5.00	31494	316	0.20	0.87	4.98	
000555	神州信息	6.13	12.63	0.73	12.62	12.63	254416	3339	-0.07	2.72	11.90	
000557	西部创业	1.51	3.37	0.05	3.36	3.37	32490	760	0.30	0.56	3.31	
000558	莱茵体育	0.58	3.49	0.02	3.48	3.49	34975	792	0.00	0.27	3.46	
000559	万向钱潮	0.00	5.24	0.00	5.23	5.24	35838	1148	0.00	0.13	5.24	
000560	我爱我家	-0.45	4.39	-0.02	4.39	4.40	62989	383	-0.22	0.35	4.40	
000561	烽火电子	1.03	6.84	0.07	6.84	6.85	25709	671	-0.14	0.43	6.82	
000563	陕国投Ａ	0.97	4.16	0.04	4.16	4.17	226578	4440	0.00	0.57	4.12	
000564	供销大集	10.00	2.42	0.22	2.42	--  	175053	3453	0.00	0.93	2.36	
000565	渝三峡Ａ	1.13	5.35	0.06	5.34	5.35	17536	240	0.19	0.40	5.29	
000566	海南海药	-0.31	6.48	-0.02	6.48	6.49	70914	895	-0.14	0.59	6.45	
000567	海德股份	2.13	8.63	0.18	8.63	8.64	48080	588	0.12	2.21	8.52	
000568	泸州老窖	-0.59	87.22	-0.52	87.22	87.25	110955	997	0.26	0.76	87.21	
000570	苏常柴Ａ	2.40	4.70	0.11	4.70	4.71	22755	198	-0.41	0.55	4.53	
000571	*ST大洲	0.43	2.35	0.01	2.35	2.36	10820	779	0.00	0.13	2.34	
